Sample,KMeans_Cluster,DBSCAN_Cluster,GMM_Cluster,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,LD1,LD2,Ancestry_Q1,Ancestry_Q2,Ancestry_Q3
125,2,2,2,19.660488,-16.843633,5.935669,3.537816,28.418132,-11.062261,-1.575223,4.475871,7.480802,-41.164538,-5.523732,23.298301,0.441062,0.558745,0.000193
126,2,2,1,20.105838,-18.403346,3.077285,-2.282576,23.703756,-15.480764,3.018961,-0.768410,1.039862,-28.253480,-6.331069,24.338097,0.574244,0.425627,0.000128
127,1,2,1,11.182469,-2.826764,-2.587971,16.423307,6.562900,-15.334896,-17.901703,-21.643774,-11.017341,-4.076008,0.398802,12.626380,0.907016,0.092847,0.000137
128,1,2,1,4.551203,-1.169062,4.316601,-13.494611,-2.534797,-13.002353,-7.765845,-2.774631,1.772313,-8.239859,-0.731094,5.827713,0.876286,0.123566,0.000148
129,1,2,1,-5.964381,-1.037036,2.884292,1.517156,5.168583,2.441284,-16.255665,-3.403369,1.579664,-10.014667,-5.054177,-5.025178,0.945712,0.054239,0.000048
13,1,2,1,-39.377196,-6.089964,-0.107349,0.574999,-14.242819,13.836479,8.862497,14.461787,3.158989,3.200801,-18.099340,-36.503203,0.972590,0.027408,0.000002
130,1,2,1,-4.653708,2.585592,0.701670,1.918417,-3.758276,-4.053991,-16.929282,-18.236910,0.859976,5.112910,-2.238655,-3.433913,0.942885,0.057029,0.000086
131,2,2,2,39.280328,0.315666,2.339502,1.614143,-3.302114,-4.466549,-13.373040,-30.485533,-0.261722,6.470198,8.202338,40.035953,0.192729,0.806552,0.000719
132,3,1,3,22.386758,67.831057,-196.529934,-29.497663,38.711980,20.424364,4.212676,0.674305,1.974237,1.106096,99.534989,-4.299008,0.000000,0.000000,1.000000
133,1,2,1,6.549075,-19.524429,4.684852,9.671831,22.752201,-3.507649,3.458675,0.465308,5.927866,-18.340108,-12.718035,11.300265,0.716000,0.283922,0.000077
134,1,2,2,-14.890252,-11.251589,12.824117,-20.909483,15.774186,3.432300,7.600090,8.858140,1.587499,-15.559916,-13.572852,-11.611257,0.257959,0.741737,0.000304
135,2,Noise,2,69.886395,-22.314278,1.458640,-2.389816,24.245134,-25.222660,-17.152642,-15.534772,11.876630,-7.499142,1.228155,74.148280,0.000326,0.999660,0.000015
136,2,Noise,2,48.122551,-25.678645,-2.998778,-1.612636,15.316842,-36.278749,1.316421,3.241086,5.477271,-34.005612,-3.169919,53.722165,0.012139,0.987757,0.000104
137,1,2,1,-4.388279,-19.739762,-6.400596,21.618285,-2.002687,-15.854744,38.153042,23.774027,13.477204,-6.483789,-10.175218,0.024172,0.859485,0.140453,0.000062
138,3,Noise,2,47.675206,43.558205,3.036074,10.722735,-2.981506,-32.232669,10.777317,3.087880,-3.564334,-32.629731,58.978240,34.204933,0.000000,0.520864,0.479136
139,3,Noise,3,7.851095,100.031380,34.840568,34.716952,40.634288,6.851925,-5.127555,-21.441758,105.428215,17.965512,91.356235,-16.894318,0.000000,0.000000,1.000000
14,1,2,1,-22.030784,4.053099,2.248327,1.553044,-5.939710,14.048644,-23.542777,-13.449552,-8.966577,-14.115124,-8.381367,-20.882676,0.946445,0.053518,0.000036
140,3,Noise,3,39.560561,116.539581,42.176390,42.153439,46.662648,8.436078,5.927821,-35.342745,120.500894,13.537874,116.582967,10.295780,0.000000,0.000000,1.000000
141,2,Noise,2,42.424646,-9.314322,8.991399,-41.521331,-5.107348,2.973267,7.940567,-5.974796,17.632417,0.034360,1.436389,45.209864,0.021072,0.978579,0.000349
142,2,Noise,2,80.165645,-0.946779,13.220454,-90.109732,1.608368,-11.863332,-0.046558,-10.728440,37.591049,65.547155,17.176089,78.973471,0.000001,0.999953,0.000046
143,1,2,1,-12.806168,1.260625,0.720577,-0.152292,-3.449057,-2.550018,-17.195963,-16.137640,-1.268083,9.878267,-6.032550,-11.230245,0.962052,0.037914,0.000034
144,2,Noise,2,17.362713,-30.699757,-1.915763,-6.625572,32.243764,-48.186919,13.003093,11.049057,12.417598,-16.632897,-12.196663,24.438821,0.173422,0.826389,0.000189
145,2,Noise,2,45.395198,-19.060870,-3.755322,2.977400,16.426364,-40.902166,0.200813,-5.002872,7.926271,-6.843669,1.800521,49.309865,0.057511,0.942313,0.000176
146,1,2,1,7.893424,-11.783510,0.333889,-7.435838,9.148859,-14.408549,-12.439022,-2.124188,7.180678,-4.540782,-8.301410,11.337403,0.919378,0.080580,0.000041
147,2,Noise,2,54.934987,-22.759515,7.384940,-11.399356,48.808979,-19.442668,23.995471,17.648182,22.685329,-57.131489,6.269903,57.788464,0.001208,0.998734,0.000058
148,1,2,1,-9.966742,-2.538718,5.075767,1.827669,15.034007,-6.299294,-20.886491,0.579898,-0.465255,-6.731895,-6.617735,-9.222871,0.927578,0.072375,0.000047
149,1,2,1,3.409565,-22.218481,1.395431,-6.756898,19.322426,-11.045245,-11.355412,0.943516,10.634047,-7.830070,-18.217502,9.408839,0.796411,0.203542,0.000047
15,1,2,1,-35.139551,-7.623084,-3.167842,16.498784,0.468807,-4.644895,3.854566,8.922846,-1.708654,-4.166289,-14.755461,-32.266837,0.974807,0.025190,0.000002
150,2,Noise,2,50.873893,-28.573095,4.616502,-22.605015,21.582056,-33.760508,2.726636,-3.209972,21.016221,-7.121715,-6.895178,57.729662,0.001753,0.998190,0.000056
151,2,Noise,2,165.628908,-23.703353,15.261247,1.980337,29.481569,32.549756,-37.763903,70.079613,-7.922977,23.483427,17.979118,155.774995,0.000000,1.000000,0.000000
152,2,Noise,2,147.210320,-8.896144,13.629394,-20.910398,8.594201,8.576389,-16.157506,23.125459,15.689881,54.350452,27.536122,139.979047,0.000000,1.000000,0.000000
153,1,2,1,-0.513264,8.519905,0.644496,1.895464,-11.976688,5.074666,-8.037419,-4.565292,-4.327847,-3.099236,4.560554,-2.081438,0.851065,0.148390,0.000545
154,1,2,1,-20.784862,-8.187133,-0.138892,5.238766,11.720906,-13.162744,-10.060658,4.960452,-1.105601,-5.342772,-12.000706,-18.245156,0.978107,0.021888,0.000005
155,1,2,1,-41.206511,-1.960798,0.006350,-0.085448,7.497889,-5.131376,-11.818749,6.833848,-2.756549,-4.530175,-13.670054,-39.555209,0.966638,0.033360,0.000002
156,3,Noise,3,-10.430013,90.085603,31.810793,38.517162,42.627372,8.064749,-6.991623,-18.503993,89.733971,9.984671,77.749454,-32.430903,0.000000,0.000000,1.000000
157,1,2,1,-44.449074,-3.956053,-2.789333,11.438034,-4.098434,4.336185,1.559437,10.317669,-0.294927,1.636679,-16.062822,-42.230301,0.964997,0.035002,0.000002
158,1,2,1,-33.281086,2.445944,2.177585,-7.276844,1.311065,2.669873,-21.054015,-4.143086,-7.451570,-0.890069,-11.040937,-32.275899,0.952113,0.047876,0.000011
159,1,2,1,-10.691016,4.020315,1.447559,6.692121,4.930858,6.620513,-19.422314,-9.424817,-7.942998,8.899430,-2.945946,-11.481543,0.941793,0.058129,0.000078
16,1,2,1,-40.135368,0.743039,5.923578,-25.077673,-6.583221,4.927394,12.614974,12.003890,4.380894,6.575168,-11.186703,-38.750793,0.882463,0.117526,0.000011
160,3,Noise,3,34.181663,50.227983,0.297277,-14.860976,-35.547773,-66.413207,16.692948,-2.537500,-10.799280,-22.327813,61.516134,21.934579,0.000000,0.093633,0.906367
161,1,Noise,3,-18.058843,52.305525,14.250778,18.423948,15.224579,4.135185,-14.948701,0.230269,-1.343660,0.841036,40.375157,-32.811784,0.000000,0.054258,0.945742
162,1,2,1,0.808562,-18.985693,0.796298,6.665255,22.813645,-5.896781,-11.136060,4.373864,1.278580,-9.424737,-15.516648,4.924955,0.893158,0.106814,0.000028
163,1,2,1,-22.096161,-9.820656,4.641553,10.455303,22.486863,3.862367,-11.699330,15.566210,1.634755,-5.102014,-14.988467,-20.646147,0.950504,0.049488,0.000008
164,1,2,1,-7.836666,-5.369219,0.879849,9.189404,5.594283,-4.275409,-10.995378,2.877248,-3.336671,-23.327802,-7.054120,-6.029035,0.968194,0.031788,0.000018
165,1,2,1,-16.529527,-6.445262,-0.636123,6.860340,1.427411,-9.155269,-19.954058,-12.717223,-10.286318,5.098036,-12.811588,-13.392685,0.977657,0.022335,0.000008
166,1,2,2,-20.032670,12.895620,11.777479,-13.421883,0.390255,15.361271,-9.953411,3.221390,5.220566,-18.043757,1.773144,-22.159153,0.079801,0.916502,0.003696
167,1,2,1,9.228514,-17.126699,-0.329106,-0.855009,8.892774,-23.124099,-15.118368,-16.843644,-6.680205,14.079597,-12.955054,14.391526,0.868203,0.131749,0.000049
168,1,2,1,-10.076023,-7.385489,0.386904,-17.885120,-11.045083,0.515034,17.873308,1.922812,6.355216,3.169760,-8.635831,-6.712872,0.972062,0.027926,0.000012
169,1,2,1,-9.705808,0.026299,-0.239391,7.675293,-0.619557,-1.240958,-16.175144,-19.430345,-6.715076,3.143163,-5.500067,-7.990460,0.965025,0.034941,0.000034
17,1,2,1,-12.816603,-10.957558,-5.633925,24.728566,-8.697449,5.454261,8.523196,2.391401,2.388648,15.774905,-13.041524,-9.730119,0.960159,0.039821,0.000020
170,1,Noise,1,-15.231158,-8.436656,6.479782,-45.274252,-12.394610,7.319145,14.254642,-0.618372,8.716807,33.276662,-14.764865,-11.350765,0.909667,0.090307,0.000026
171,1,2,1,-20.193876,-17.969330,-4.046081,18.982573,5.031841,-7.330504,-2.898326,-15.316927,-6.329160,27.311335,-21.562180,-14.283172,0.949234,0.050758,0.000008
