Sample	1	10	100	101	102	103	104	105	106	107	108	109	11	110	111	112	113	114	115	116	117	118	119	12	120	121	122	123	124	125	126	127	128	129	13	130	131	132	133	134	135	136	137	138	139	14	140	141	142	143	144	145	146	147	148	149	15	150	151	152	153	154	155	156	157	158	159	16	160	161	162	163	164	165	166	167	168	169	17	170	171	172	173	174	175	176	177	178	179	18	180	181	182	183	184	185	186	187	188	189	19	190	191	192	193	194	195	196	197	198	199	2	20	200	201	202	203	204	205	206	207	208	209	21	210	211	212	214	215	216	217	218	219	22	220	221	23	24	25	26	27	28	29	3	30	31	32	33	34	35	36	37	38	39	4	40	41	42	43	44	45	46	47	48	49	5	50	51	52	53	54	55	56	57	58	59	6	60	61	62	63	64	65	66	67	68	69	7	70	71	72	73	74	75	76	77	78	79	8	80	81	82	83	84	85	86	87	88	89	9	90	91	92	93	94	95	96	97	98	99
1	0	0.392439	0.389216	0.391747	0.389087	0.376016	0.38105	0.374071	0.374127	0.391642	0.382908	0.391489	0.389206	0.375775	0.376951	0.388771	0.391073	0.3911	0.390324	0.391864	0.376236	0.390133	0.391046	0.389625	0.39154	0.389837	0.388545	0.388398	0.3887	0.388051	0.391214	0.389872	0.389993	0.391193	0.39222	0.389335	0.389169	0.022003	0.389351	0.389896	0.392272	0.391152	0.391671	0.376974	0.376275	0.389137	0.376158	0.390781	0.389933	0.389205	0.392422	0.391819	0.391248	0.386143	0.389865	0.392558	0.392388	0.391631	0.390006	0.387569	0.388313	0.39052	0.390123	0.376578	0.392064	0.388512	0.388032	0.390273	0.371965	0.371602	0.39084	0.388563	0.389169	0.390035	0.384123	0.392927	0.391123	0.389259	0.392	0.390948	0.393042	0.390749	0.391512	0.392231	0.391811	0.391328	0.391343	0.391677	0.38856	0.391278	0.391162	0.392078	0.389265	0.390467	0.383565	0.392348	0.390918	0.388104	0.375176	0.39149	0.390471	0.389882	0.39021	0.389035	0.389443	0.391369	0.390287	0.392192	0.389912	0.389191	0.393638	0.363726	0.39057	0.390757	0.390803	0.391389	0.391665	0.38984	0.391414	0.390249	0.390189	0.390246	0.387598	0.392316	0.389456	0.389454	0.389619	0.38296	0.388025	0.388227	0.390895	0.391152	0.389484	0.391059	0.389329	0.384841	0.392167	0.39188	0.390815	0.390871	0.38908	0.391886	0.390023	0.012719	0.391754	0.391115	0.390948	0.392744	0.390572	0.393524	0.39104	0.390049	0.39085	0.391259	0.38937	0.391723	0.392816	0.390949	0.392106	0.3921	0.390206	0.390351	0.390284	0.390985	0.391881	0.388625	0.391464	0.391239	0.392477	0.392624	0.391136	0.392816	0.39092	0.390975	0.391477	0.392242	0.38066	0.392785	0.391491	0.392141	0.393238	0.392545	0.392746	0.392608	0.390061	0.391521	0.391243	0.375459	0.392908	0.392347	0.391825	0.392223	0.391839	0.391169	0.391865	0.392651	0.389449	0.391548	0.388789	0.39134	0.390458	0.390724	0.389899	0.389991	0.390955	0.38981	0.392398	0.389615	0.375256	0.389903	0.392345	0.392299	0.390658	0.389868	0.390955	0.390115	0.390566	0.39135	0.389437	0.391381
10	0.00002	0	0.110617	0.112655	0.111597	0.12474	0.113027	0.122618	0.128245	0.102908	0.110752	0.099349	0.103969	0.118417	0.116054	0.10752	0.102413	0.105113	0.106355	0.10232	0.116217	0.107013	0.105958	0.101777	0.101576	0.109183	0.106303	0.106152	0.105109	0.106755	0.105622	0.104044	0.107932	0.103046	0.094653	0.101707	0.106889	0.350144	0.098966	0.09911	0.107504	0.107258	0.098545	0.117353	0.128643	0.108614	0.128859	0.104904	0.105748	0.100853	0.100765	0.105817	0.103681	0.109834	0.10222	0.099886	0.101996	0.102699	0.109876	0.107964	0.109649	0.103587	0.103174	0.128909	0.098094	0.10676	0.104181	0.103203	0.128549	0.121517	0.105929	0.105953	0.105567	0.101965	0.11087	0.10151	0.100768	0.105064	0.094032	0.092919	0.080468	0.095826	0.102237	0.10095	0.104023	0.099803	0.099797	0.09987	0.107778	0.102742	0.106125	0.089937	0.104903	0.104093	0.109204	0.102008	0.104047	0.108727	0.123745	0.100121	0.098834	0.104184	0.09901	0.10597	0.105999	0.099093	0.108113	0.109799	0.105763	0.107612	0.089108	0.179052	0.103745	0.100384	0.086366	0.096649	0.104954	0.114642	0.110854	0.106105	0.105028	0.114616	0.102274	0.10082	0.103761	0.10922	0.114142	0.113279	0.110353	0.108132	0.10625	0.107599	0.108678	0.104277	0.108404	0.117722	0.099045	0.103473	0.103434	0.102639	0.10733	0.102929	0.099657	0.365341	0.098479	0.098429	0.105004	0.10089	0.102544	0.092515	0.09596	0.103535	0.094458	0.095427	0.105248	0.096863	0.103085	0.10524	0.100578	0.103802	0.106251	0.098268	0.099683	0.103806	0.102482	0.1038	0.092253	0.090097	0.088049	0.097376	0.099496	0.083613	0.094663	0.086794	0.10463	0.08296	0.109958	0.099872	0.100657	0.083251	0.096013	0.096925	0.086821	0.07316	0.096065	0.095647	0.09971	0.123786	0.082719	0.103233	0.09607	0.096097	0.098862	0.099139	0.099943	0.091919	0.099626	0.100045	0.104046	0.101595	0.108347	0.106422	0.100991	0.103546	0.097619	0.110931	0.081747	0.104483	0.123559	0.103778	0.102681	0.09965	0.104318	0.10625	0.089631	0.106712	0.107568	0.108695	0.112319	0.109458
100	0.00002	0.000002	0	0.102456	0.092195	0.124058	0.110065	0.122693	0.128673	0.112067	0.11135	0.107854	0.103363	0.118793	0.116516	0.111507	0.106024	0.107382	0.109779	0.107327	0.11659	0.112095	0.108669	0.107876	0.10656	0.104162	0.108206	0.106403	0.107678	0.108661	0.106361	0.108915	0.111591	0.102487	0.106349	0.107306	0.108162	0.348769	0.104084	0.104219	0.111645	0.109004	0.109594	0.116478	0.126044	0.102396	0.126085	0.107396	0.112825	0.107106	0.110405	0.109413	0.107797	0.113115	0.106896	0.105544	0.11034	0.110469	0.112942	0.113024	0.109072	0.103613	0.101089	0.125657	0.106476	0.107977	0.108449	0.111749	0.127668	0.122592	0.111801	0.111105	0.10541	0.107588	0.108364	0.10988	0.108613	0.10878	0.109659	0.110894	0.108605	0.108884	0.109947	0.106496	0.112444	0.112502	0.111034	0.109615	0.110048	0.109222	0.11253	0.110306	0.105869	0.111935	0.108863	0.109726	0.108387	0.114343	0.123259	0.106819	0.108313	0.108884	0.106099	0.113791	0.101576	0.10836	0.104663	0.104028	0.111543	0.103321	0.109343	0.174039	0.106102	0.107871	0.105634	0.108284	0.112743	0.104236	0.106642	0.116596	0.114251	0.116706	0.1081	0.108229	0.106721	0.110469	0.114434	0.115328	0.114705	0.109201	0.115218	0.114095	0.114003	0.108755	0.112006	0.119698	0.108992	0.105974	0.108372	0.110106	0.108437	0.108934	0.10886	0.362461	0.107659	0.111961	0.110245	0.109544	0.104951	0.106848	0.109554	0.108286	0.108236	0.108391	0.107566	0.108335	0.114383	0.111523	0.109644	0.109214	0.11217	0.110003	0.107358	0.110004	0.112242	0.10643	0.107678	0.109965	0.109776	0.107082	0.109389	0.106795	0.109527	0.107946	0.109913	0.106645	0.11186	0.11115	0.107568	0.107419	0.10713	0.106102	0.10709	0.105607	0.108166	0.107421	0.107352	0.123013	0.107905	0.107497	0.108107	0.110557	0.111872	0.111163	0.109283	0.108939	0.11048	0.106148	0.108916	0.108028	0.0969	0.111533	0.108011	0.108192	0.10715	0.103311	0.105148	0.111488	0.123162	0.108949	0.103981	0.10785	0.108521	0.104057	0.107467	0.094028	0.103814	0.102292	0.103913	0.102142
101	0.00002	0.000002	0.000002	0	0.099668	0.125707	0.118316	0.124943	0.128167	0.115366	0.116196	0.11269	0.108977	0.122744	0.119902	0.112349	0.114926	0.114455	0.114158	0.115356	0.119585	0.117824	0.113269	0.110882	0.11213	0.105791	0.114772	0.112757	0.113661	0.118609	0.115792	0.113184	0.117444	0.109547	0.104255	0.110678	0.111816	0.350698	0.112641	0.11261	0.116264	0.115396	0.111838	0.120053	0.127743	0.103759	0.12787	0.111483	0.117616	0.110718	0.119454	0.117285	0.111424	0.122552	0.114124	0.110185	0.111151	0.118158	0.115819	0.116648	0.111656	0.111243	0.110014	0.127508	0.109098	0.110584	0.111892	0.111529	0.129999	0.123599	0.115218	0.115812	0.111453	0.111938	0.111821	0.114414	0.112374	0.11099	0.110123	0.113741	0.114047	0.106171	0.112975	0.111321	0.109455	0.112474	0.109186	0.110622	0.114663	0.11214	0.115022	0.11635	0.106715	0.11459	0.112317	0.1102	0.114387	0.11779	0.124836	0.111445	0.108398	0.116933	0.109721	0.117886	0.108126	0.109635	0.109848	0.106502	0.112415	0.104322	0.109071	0.169559	0.11026	0.112145	0.10063	0.109131	0.115219	0.108192	0.111292	0.118668	0.117798	0.125684	0.114207	0.116105	0.109317	0.118524	0.11868	0.121131	0.116993	0.109615	0.122492	0.118783	0.118421	0.116453	0.112839	0.127411	0.110509	0.111602	0.112881	0.110748	0.110729	0.111553	0.10463	0.364582	0.112812	0.113219	0.113163	0.115214	0.109656	0.110859	0.110431	0.109657	0.108356	0.111946	0.108822	0.110777	0.117117	0.111407	0.114192	0.114943	0.114102	0.107772	0.107748	0.109617	0.111305	0.108796	0.108151	0.112943	0.115671	0.113207	0.113651	0.107983	0.106907	0.108182	0.113224	0.106578	0.116161	0.114243	0.110768	0.110286	0.111259	0.11034	0.109607	0.107246	0.107298	0.104395	0.111292	0.124707	0.107719	0.114667	0.107977	0.115164	0.110522	0.115256	0.114568	0.112157	0.109232	0.114947	0.110726	0.110278	0.102285	0.114989	0.116302	0.115414	0.106915	0.095558	0.105955	0.115446	0.124954	0.112044	0.105522	0.112873	0.114803	0.110968	0.102406	0.088709	0.097143	0.105841	0.110422	0.09327
102	0.00002	0.000002	0.000002	0.000002	0	0.118468	0.107094	0.117249	0.120331	0.106513	0.106387	0.103354	0.097746	0.116196	0.111676	0.10774	0.104462	0.101357	0.106338	0.104858	0.112586	0.104464	0.101703	0.102873	0.103997	0.094975	0.101792	0.105056	0.104695	0.10915	0.106721	0.106732	0.107937	0.097229	0.103195	0.102105	0.105623	0.348202	0.103536	0.101377	0.105891	0.107825	0.107769	0.114573	0.120101	0.093726	0.120953	0.103973	0.109564	0.102915	0.108688	0.105173	0.102917	0.114395	0.101184	0.103739	0.108831	0.108675	0.110961	0.106493	0.10119	0.099141	0.097282	0.120108	0.103578	0.101127	0.104612	0.108571	0.12503	0.116935	0.107174	0.10702	0.103707	0.104226	0.104077	0.106212	0.104428	0.10328	0.110374	0.10812	0.107329	0.103048	0.108022	0.104969	0.106921	0.107588	0.104668	0.107081	0.10414	0.107712	0.108656	0.109193	0.103011	0.107328	0.102882	0.107162	0.104245	0.107852	0.117864	0.104849	0.104339	0.109548	0.101759	0.108467	0.097327	0.103178	0.101113	0.100199	0.105506	0.099781	0.107298	0.166364	0.10124	0.106333	0.103714	0.10133	0.105481	0.098639	0.101104	0.110234	0.109904	0.116707	0.106504	0.104726	0.104015	0.107951	0.11072	0.108694	0.106654	0.100267	0.112166	0.110144	0.1091	0.104237	0.105594	0.118535	0.103597	0.104442	0.105096	0.104797	0.104827	0.104131	0.104485	0.361711	0.105924	0.110116	0.106941	0.106327	0.100079	0.104775	0.108887	0.106739	0.107163	0.109952	0.098481	0.108089	0.111622	0.103801	0.104904	0.104112	0.106351	0.105515	0.103523	0.107843	0.109975	0.100868	0.105371	0.105786	0.109176	0.107113	0.106735	0.103021	0.107412	0.108068	0.108881	0.106312	0.109537	0.105458	0.105604	0.104076	0.103581	0.1046	0.106136	0.108002	0.107359	0.102457	0.106667	0.116891	0.101906	0.103772	0.103875	0.105977	0.107006	0.10992	0.109912	0.106131	0.107628	0.105945	0.104129	0.103989	0.086893	0.107814	0.103891	0.103173	0.103776	0.100309	0.104822	0.109982	0.119066	0.105101	0.09662	0.102859	0.104172	0.098521	0.102416	0.089272	0.100213	0.100991	0.095226	0.097574
103	0.000019	0.000002	0.000002	0.000003	0.000002	0	0.11148	0.083709	0.113425	0.12106	0.109368	0.116891	0.116463	0.108423	0.104932	0.122606	0.116064	0.117122	0.119011	0.117119	0.102876	0.118603	0.116131	0.11849	0.118535	0.119365	0.114378	0.118311	0.117684	0.119854	0.119212	0.117481	0.12035	0.114936	0.119025	0.117462	0.118541	0.339155	0.116587	0.115827	0.120379	0.12052	0.12044	0.106869	0.100041	0.116148	0.100766	0.119233	0.123188	0.118355	0.119935	0.119628	0.118299	0.121471	0.11458	0.118609	0.120425	0.123303	0.122088	0.118305	0.116957	0.113499	0.114686	0.099051	0.117452	0.117352	0.114413	0.119298	0.115376	0.101354	0.120932	0.116905	0.118244	0.118052	0.117095	0.120635	0.122749	0.119614	0.123095	0.124152	0.120522	0.118024	0.121333	0.122715	0.12172	0.121582	0.11957	0.121542	0.121131	0.121949	0.120328	0.12277	0.114895	0.121943	0.111486	0.12171	0.118564	0.118192	0.04908	0.117817	0.120745	0.121386	0.120117	0.120416	0.116897	0.119712	0.120002	0.122165	0.118838	0.118088	0.122499	0.147411	0.116118	0.120065	0.121059	0.11832	0.119646	0.121384	0.122521	0.122053	0.121163	0.125992	0.123742	0.118726	0.115009	0.116698	0.122885	0.121282	0.11433	0.11505	0.122419	0.122503	0.123082	0.117298	0.115535	0.125687	0.120604	0.118687	0.119231	0.118318	0.119372	0.118717	0.119759	0.35207	0.119489	0.120572	0.119004	0.119854	0.119711	0.119563	0.120917	0.116603	0.121817	0.121558	0.114771	0.121815	0.123064	0.118068	0.119487	0.11899	0.119296	0.118052	0.118459	0.124996	0.125453	0.112208	0.121801	0.119438	0.120705	0.121834	0.118315	0.118722	0.118642	0.121673	0.123513	0.120671	0.108447	0.122747	0.121323	0.120626	0.118987	0.120581	0.118563	0.120922	0.12082	0.118875	0.121599	0.047304	0.118636	0.120704	0.120821	0.118975	0.120692	0.123519	0.122599	0.119148	0.120452	0.120699	0.117744	0.119253	0.119845	0.119283	0.117956	0.116397	0.121526	0.12081	0.118913	0.121786	0.050593	0.120814	0.114764	0.116825	0.11625	0.114589	0.119726	0.119779	0.122342	0.118041	0.11919	0.122093
104	0.00002	0.000002	0.000002	0.000002	0.000002	0.000002	0	0.110313	0.113474	0.109585	0.103055	0.106561	0.106513	0.107953	0.10396	0.114022	0.106044	0.106008	0.108148	0.106094	0.105888	0.108789	0.105133	0.107329	0.107233	0.108322	0.107976	0.108846	0.109098	0.109383	0.104297	0.107386	0.109696	0.103266	0.108936	0.107908	0.108286	0.341092	0.104807	0.103018	0.110584	0.109762	0.11164	0.1022	0.113452	0.109717	0.114784	0.108394	0.111848	0.108603	0.109488	0.109388	0.105954	0.112879	0.103221	0.107022	0.111835	0.109793	0.111481	0.111187	0.109204	0.102642	0.103187	0.113283	0.108434	0.107693	0.108455	0.111496	0.114555	0.112275	0.108348	0.1051	0.107189	0.107815	0.111928	0.108253	0.11266	0.108421	0.113205	0.110825	0.110164	0.108315	0.110543	0.10655	0.115766	0.11143	0.110731	0.112336	0.110843	0.111195	0.109816	0.111426	0.106371	0.110355	0.100713	0.111387	0.109308	0.110303	0.111378	0.107146	0.110266	0.107458	0.107911	0.111848	0.10606	0.109395	0.109571	0.110731	0.109475	0.11023	0.113037	0.151914	0.106504	0.108051	0.11014	0.109343	0.109613	0.111002	0.110158	0.112305	0.112004	0.117315	0.110041	0.108835	0.106332	0.106197	0.113532	0.113691	0.108247	0.105727	0.11149	0.110644	0.111625	0.105784	0.112323	0.120966	0.108249	0.107281	0.109826	0.107783	0.108002	0.108493	0.109555	0.355497	0.10846	0.111689	0.10915	0.107375	0.108456	0.108646	0.111129	0.108774	0.110565	0.111676	0.10451	0.110425	0.11378	0.109518	0.10905	0.106133	0.109443	0.106992	0.10757	0.109924	0.112138	0.104174	0.109675	0.110308	0.11084	0.109216	0.109299	0.108957	0.109148	0.112175	0.114046	0.110985	0.103678	0.110736	0.110916	0.109137	0.10872	0.109039	0.109709	0.110078	0.108587	0.108331	0.109657	0.110987	0.109346	0.111319	0.109679	0.109039	0.111608	0.112876	0.113475	0.109608	0.112501	0.109126	0.108286	0.105934	0.107008	0.109154	0.107869	0.105223	0.109859	0.109765	0.109747	0.111806	0.113182	0.109215	0.1015	0.106399	0.109924	0.104162	0.109424	0.108162	0.110921	0.110263	0.107872	0.111136
105	0.000019	0.000002	0.000002	0.000002	0.000002	0.000002	0.000002	0	0.103427	0.120434	0.106368	0.116674	0.118032	0.108868	0.104544	0.121296	0.116228	0.117512	0.121444	0.115619	0.10228	0.119065	0.117407	0.117178	0.117059	0.119247	0.117014	0.119187	0.118932	0.117096	0.117868	0.113808	0.119586	0.11513	0.116955	0.116571	0.118508	0.337983	0.115558	0.114605	0.120956	0.119701	0.11888	0.105512	0.105978	0.115406	0.107604	0.119997	0.121358	0.116996	0.11734	0.119754	0.118155	0.117904	0.113403	0.118062	0.117088	0.120781	0.122717	0.119918	0.115985	0.113886	0.111534	0.106038	0.115535	0.118105	0.116623	0.118343	0.108562	0.103904	0.120457	0.119518	0.115197	0.115512	0.120499	0.118545	0.122078	0.118558	0.121673	0.123139	0.119768	0.116332	0.119184	0.118742	0.12066	0.118007	0.118	0.120379	0.118244	0.119513	0.117736	0.120327	0.114293	0.120234	0.108513	0.119442	0.118521	0.120247	0.082926	0.116497	0.118672	0.121061	0.116846	0.117715	0.118829	0.116885	0.119079	0.121569	0.119781	0.116901	0.121486	0.142439	0.116574	0.11768	0.118214	0.117146	0.118185	0.121301	0.120567	0.119384	0.11919	0.131134	0.122259	0.11803	0.117084	0.116054	0.123879	0.122618	0.11598	0.116023	0.122244	0.122353	0.122993	0.11709	0.116766	0.131969	0.116943	0.116724	0.115962	0.118575	0.11961	0.11913	0.119996	0.349691	0.118373	0.11792	0.119218	0.117822	0.117672	0.116167	0.118687	0.117129	0.118264	0.118666	0.114613	0.120523	0.121518	0.118837	0.116088	0.118062	0.119455	0.118233	0.118358	0.122455	0.123277	0.113863	0.118803	0.118861	0.118116	0.120829	0.116741	0.117737	0.118966	0.119898	0.123049	0.119646	0.105503	0.12089	0.11932	0.118293	0.118434	0.117148	0.118395	0.119925	0.119096	0.117065	0.119079	0.082193	0.117563	0.118738	0.119585	0.118462	0.119304	0.123	0.123087	0.118609	0.11971	0.11891	0.118766	0.119142	0.11894	0.118931	0.118027	0.115401	0.118768	0.120235	0.117309	0.122114	0.084641	0.122853	0.117067	0.117083	0.115132	0.116375	0.117204	0.119288	0.12026	0.119287	0.118606	0.120561
106	0.000019	0.000003	0.000003	0.000003	0.000002	0.000002	0.000002	0.000002	0	0.121109	0.111555	0.116643	0.121107	0.111763	0.108306	0.122568	0.121345	0.119854	0.120909	0.120673	0.108442	0.121627	0.118499	0.121926	0.115576	0.120073	0.122041	0.124817	0.123477	0.127879	0.122348	0.119958	0.119845	0.117782	0.120425	0.120283	0.122311	0.33819	0.125136	0.123187	0.120571	0.121191	0.12127	0.110611	0.115398	0.11925	0.117138	0.12063	0.121193	0.120765	0.119058	0.118663	0.121142	0.131019	0.116883	0.120354	0.120139	0.124223	0.126139	0.123467	0.118577	0.116815	0.114891	0.115603	0.120771	0.11775	0.123215	0.121521	0.109311	0.110785	0.125662	0.12583	0.122599	0.119927	0.127193	0.119225	0.123356	0.1214	0.127598	0.126884	0.1262	0.120072	0.121563	0.118064	0.1267	0.122195	0.120269	0.124316	0.119633	0.124177	0.118649	0.124502	0.117628	0.121535	0.115197	0.125353	0.122459	0.121754	0.113731	0.10469	0.121254	0.125457	0.121246	0.122268	0.124702	0.121061	0.122487	0.123585	0.120273	0.120738	0.125929	0.135809	0.117978	0.119603	0.123988	0.117735	0.119308	0.12356	0.124728	0.120931	0.122858	0.142098	0.122786	0.1178	0.121662	0.122081	0.128936	0.127718	0.117176	0.119753	0.123702	0.126382	0.124954	0.118146	0.119352	0.145892	0.121295	0.119733	0.119709	0.121196	0.121797	0.119082	0.120593	0.349201	0.119733	0.119308	0.123188	0.119137	0.12108	0.121295	0.12046	0.121556	0.122614	0.122992	0.115053	0.124779	0.125498	0.119378	0.117558	0.122032	0.121383	0.123661	0.120136	0.119879	0.124841	0.118215	0.123765	0.122908	0.123949	0.123683	0.121365	0.124192	0.120958	0.125826	0.125672	0.126418	0.110454	0.12128	0.122204	0.123578	0.118664	0.121136	0.12277	0.127096	0.123311	0.120047	0.119943	0.112856	0.121099	0.122069	0.124279	0.122952	0.121842	0.123024	0.123127	0.122788	0.122142	0.123062	0.122948	0.119809	0.122917	0.119703	0.122628	0.118758	0.119055	0.122732	0.125056	0.124051	0.115151	0.125494	0.115428	0.116877	0.117762	0.122032	0.122547	0.12189	0.123081	0.122183	0.12072	0.122159
